iter	Logloss
0	0.6395858624
1	0.5987382633
2	0.566823755
3	0.5438790038
4	0.526118812
5	0.5105873657
6	0.4967742851
7	0.4835985913
8	0.4735779719
9	0.464642682
10	0.4571596005
11	0.4512109639
12	0.4463456564
13	0.4420152554
14	0.4379805532
15	0.4341122096
16	0.4300921873
17	0.4270235758
18	0.4244683044
19	0.4219544545
20	0.4201437486
21	0.4176572476
22	0.4163404986
23	0.4147408017
24	0.4130646054
25	0.4116395665
26	0.4100717785
27	0.4087816952
28	0.4082110807
29	0.4071644145
30	0.4057781731
31	0.4052842706
32	0.4041629169
33	0.4041531731
34	0.4032332587
35	0.4023285485
36	0.4015211352
37	0.4007568567
38	0.3999797523
39	0.3995357303
40	0.3991074573
41	0.3986854852
42	0.3985534911
43	0.3984956894
44	0.398167565
45	0.3979998233
46	0.3970865271
47	0.3967766131
48	0.3960336705
49	0.3955937536
